"pair","img_1","img_2","keyPressed","fc8"
"E_F_Dawn_Roma_French.png E_F_Jennifer_Saunders.png","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png",0.784700363874435,1.15556247532368
"E_F_Dawn_Roma_French.png E_F_Julie_Walters.png","E_F_Dawn_Roma_French.png","E_F_Julie_Walters.png",0.796248257160187,0.987091672606766
"E_F_Dawn_Roma_French.png E_F_Sarah_Millican.png","E_F_Dawn_Roma_French.png","E_F_Sarah_Millican.png",0.78310552239418,1.08256126195192
"E_F_Dawn_Roma_French.png E_M_Ewan_McGregor.png","E_F_Dawn_Roma_French.png","E_M_Ewan_McGregor.png",0.870670303702354,1.05423858389258
"E_F_Dawn_Roma_French.png E_M_Jimmy_Carr.png","E_F_Dawn_Roma_French.png","E_M_Jimmy_Carr.png",0.841211214661598,0.966716695576906
"E_F_Dawn_Roma_French.png E_M_Michael_McIntyr.png","E_F_Dawn_Roma_French.png","E_M_Michael_McIntyr.png",0.743457198143005,1.06191137805581
"E_F_Dawn_Roma_French.png E_M_Peter_Kay.png","E_F_Dawn_Roma_French.png","E_M_Peter_Kay.png",0.88478596508503,1.28233706951141
"E_F_Dawn_Roma_French.png E_M_Russell_Howard.png","E_F_Dawn_Roma_French.png","E_M_Russell_Howard.png",0.843505635857582,1.19694183766842
"E_F_Dawn_Roma_French.png E_M_Simon_Pegg.png","E_F_Dawn_Roma_French.png","E_M_Simon_Pegg.png",0.80126129090786,0.814801007509232
"E_F_Dawn_Roma_French.png P_F_nicola_sturge.png","E_F_Dawn_Roma_French.png","P_F_nicola_sturge.png",0.677828758955002,0.767343983054161
"E_F_Dawn_Roma_French.png P_F_Theresa_May.png","E_F_Dawn_Roma_French.png","P_F_Theresa_May.png",0.780046314001083,1.07179767638445
"E_F_Dawn_Roma_French.png P_M_david_camer.png","E_F_Dawn_Roma_French.png","P_M_david_camer.png",0.795576184988022,1.26124241948128
"E_F_Dawn_Roma_French.png P_M_Gordon_Brown.png","E_F_Dawn_Roma_French.png","P_M_Gordon_Brown.png",0.803891122341156,1.0205911397934
"E_F_Dawn_Roma_French.png P_M_jeremy_corbyn.png","E_F_Dawn_Roma_French.png","P_M_jeremy_corbyn.png",0.895503841340542,1.14520968496799
"E_F_Dawn_Roma_French.png P_M_keir_starmer.png","E_F_Dawn_Roma_French.png","P_M_keir_starmer.png",0.814763411879539,1.20238001644611
"E_F_Dawn_Roma_French.png P_M_Michael_Gove.png","E_F_Dawn_Roma_French.png","P_M_Michael_Gove.png",0.772095948457718,0.968251835554838
"E_F_Dawn_Roma_French.png P_M_nigel_farage.png","E_F_Dawn_Roma_French.png","P_M_nigel_farage.png",0.739646315574646,0.857609063386917
"E_F_Dawn_Roma_French.png P_M_Sajid_Javid.png","E_F_Dawn_Roma_French.png","P_M_Sajid_Javid.png",0.726192861795425,0.817421481013298
"E_F_Dawn_Roma_French.png P_M_Tony_Blair.png","E_F_Dawn_Roma_French.png","P_M_Tony_Blair.png",0.822501167654991,1.04185214266181
"E_F_Jennifer_Saunders.png E_F_Julie_Walters.png","E_F_Jennifer_Saunders.png","E_F_Julie_Walters.png",0.391341209411621,0.398103415966034
"E_F_Jennifer_Saunders.png E_F_Sarah_Millican.png","E_F_Jennifer_Saunders.png","E_F_Sarah_Millican.png",0.73937976360321,0.963868275284767
"E_F_Jennifer_Saunders.png E_M_Ewan_McGregor.png","E_F_Jennifer_Saunders.png","E_M_Ewan_McGregor.png",0.752357572317123,1.04652045667171
"E_F_Jennifer_Saunders.png E_M_Jimmy_Carr.png","E_F_Jennifer_Saunders.png","E_M_Jimmy_Carr.png",0.773566722869873,0.856703892350197
"E_F_Jennifer_Saunders.png E_M_Michael_McIntyr.png","E_F_Jennifer_Saunders.png","E_M_Michael_McIntyr.png",0.779356077313423,0.881267532706261
"E_F_Jennifer_Saunders.png E_M_Peter_Kay.png","E_F_Jennifer_Saunders.png","E_M_Peter_Kay.png",0.789469450712204,1.04173806682229
"E_F_Jennifer_Saunders.png E_M_Russell_Howard.png","E_F_Jennifer_Saunders.png","E_M_Russell_Howard.png",0.822172448039055,1.03722201287746
"E_F_Jennifer_Saunders.png E_M_Simon_Pegg.png","E_F_Jennifer_Saunders.png","E_M_Simon_Pegg.png",0.841709569096565,1.22756713628769
"E_F_Jennifer_Saunders.png P_F_nicola_sturge.png","E_F_Jennifer_Saunders.png","P_F_nicola_sturge.png",0.651930958032608,0.765016660094261
"E_F_Jennifer_Saunders.png P_F_Theresa_May.png","E_F_Jennifer_Saunders.png","P_F_Theresa_May.png",0.640693813562393,0.705268263816833
"E_F_Jennifer_Saunders.png P_M_david_camer.png","E_F_Jennifer_Saunders.png","P_M_david_camer.png",0.666477411985397,0.842628240585327
"E_F_Jennifer_Saunders.png P_M_Gordon_Brown.png","E_F_Jennifer_Saunders.png","P_M_Gordon_Brown.png",0.814672634005547,1.11834290623665
"E_F_Jennifer_Saunders.png P_M_jeremy_corbyn.png","E_F_Jennifer_Saunders.png","P_M_jeremy_corbyn.png",0.737066268920898,1.09199301898479
"E_F_Jennifer_Saunders.png P_M_keir_starmer.png","E_F_Jennifer_Saunders.png","P_M_keir_starmer.png",0.732374489307404,0.901716575026512
"E_F_Jennifer_Saunders.png P_M_Michael_Gove.png","E_F_Jennifer_Saunders.png","P_M_Michael_Gove.png",0.712128728628159,0.89510490000248
"E_F_Jennifer_Saunders.png P_M_nigel_farage.png","E_F_Jennifer_Saunders.png","P_M_nigel_farage.png",0.84263002872467,1.2090026140213
"E_F_Jennifer_Saunders.png P_M_Sajid_Javid.png","E_F_Jennifer_Saunders.png","P_M_Sajid_Javid.png",0.911131218075752,1.1764048486948
"E_F_Jennifer_Saunders.png P_M_Tony_Blair.png","E_F_Jennifer_Saunders.png","P_M_Tony_Blair.png",0.658977478742599,0.568993389606476
"E_F_Julie_Walters.png E_F_Sarah_Millican.png","E_F_Julie_Walters.png","E_F_Sarah_Millican.png",0.690967559814453,0.881148673593998
"E_F_Julie_Walters.png E_M_Ewan_McGregor.png","E_F_Julie_Walters.png","E_M_Ewan_McGregor.png",0.772635936737061,1.08642490208149
"E_F_Julie_Walters.png E_M_Jimmy_Carr.png","E_F_Julie_Walters.png","E_M_Jimmy_Carr.png",0.681205362081528,0.944114934653044
"E_F_Julie_Walters.png E_M_Michael_McIntyr.png","E_F_Julie_Walters.png","E_M_Michael_McIntyr.png",0.839005172252655,1.17525088787079
"E_F_Julie_Walters.png E_M_Peter_Kay.png","E_F_Julie_Walters.png","E_M_Peter_Kay.png",0.809111565351486,1.07929451018572
"E_F_Julie_Walters.png E_M_Russell_Howard.png","E_F_Julie_Walters.png","E_M_Russell_Howard.png",0.817985087633133,1.16619336605072
"E_F_Julie_Walters.png E_M_Simon_Pegg.png","E_F_Julie_Walters.png","E_M_Simon_Pegg.png",0.875595733523369,1.36919060349464
"E_F_Julie_Walters.png P_F_nicola_sturge.png","E_F_Julie_Walters.png","P_F_nicola_sturge.png",0.646016269922256,0.893246047198772
"E_F_Julie_Walters.png P_F_Theresa_May.png","E_F_Julie_Walters.png","P_F_Theresa_May.png",0.751322746276855,0.824827089905739
"E_F_Julie_Walters.png P_M_david_camer.png","E_F_Julie_Walters.png","P_M_david_camer.png",0.730565547943115,0.849624395370483
"E_F_Julie_Walters.png P_M_Gordon_Brown.png","E_F_Julie_Walters.png","P_M_Gordon_Brown.png",0.871531650424004,1.38946667313576
"E_F_Julie_Walters.png P_M_jeremy_corbyn.png","E_F_Julie_Walters.png","P_M_jeremy_corbyn.png",0.811611264944077,1.03561491146684
"E_F_Julie_Walters.png P_M_keir_starmer.png","E_F_Julie_Walters.png","P_M_keir_starmer.png",0.787236303091049,1.05047990381718
"E_F_Julie_Walters.png P_M_Michael_Gove.png","E_F_Julie_Walters.png","P_M_Michael_Gove.png",0.718239426612854,0.797630563378334
"E_F_Julie_Walters.png P_M_nigel_farage.png","E_F_Julie_Walters.png","P_M_nigel_farage.png",0.916250444948673,1.43503820896149
"E_F_Julie_Walters.png P_M_Sajid_Javid.png","E_F_Julie_Walters.png","P_M_Sajid_Javid.png",0.859453141689301,1.04362935572863
"E_F_Julie_Walters.png P_M_Tony_Blair.png","E_F_Julie_Walters.png","P_M_Tony_Blair.png",0.733971327543259,0.810015663504601
"E_F_Sarah_Millican.png E_M_Ewan_McGregor.png","E_F_Sarah_Millican.png","E_M_Ewan_McGregor.png",0.773922801017761,0.813973888754845
"E_F_Sarah_Millican.png E_M_Jimmy_Carr.png","E_F_Sarah_Millican.png","E_M_Jimmy_Carr.png",0.771486461162567,0.948628425598145
"E_F_Sarah_Millican.png E_M_Michael_McIntyr.png","E_F_Sarah_Millican.png","E_M_Michael_McIntyr.png",0.785267323255539,0.981454502791166
"E_F_Sarah_Millican.png E_M_Peter_Kay.png","E_F_Sarah_Millican.png","E_M_Peter_Kay.png",0.761805415153503,0.878295533359051
"E_F_Sarah_Millican.png E_M_Russell_Howard.png","E_F_Sarah_Millican.png","E_M_Russell_Howard.png",0.712011635303497,0.784106835722923
"E_F_Sarah_Millican.png E_M_Simon_Pegg.png","E_F_Sarah_Millican.png","E_M_Simon_Pegg.png",0.866341426968575,1.2709099650383
