RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
7839,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4705,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14359,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14542,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4717,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5526,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
31440,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
11273,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
28474,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4369,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
15850,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
6004,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
29911,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
12079,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5548,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4280,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4743,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3656,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4538,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
6074,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3955,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3536,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
11392,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3032,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
6505,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
8892,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3371,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
14693,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3846,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
7958,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2936,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
26581,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
10153,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
