RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6090,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3991,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6592,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
12495,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
8132,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3645,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6671,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3537,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
5773,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4306,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4847,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3368,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3624,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4135,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4069,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3376,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3564,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2802,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3126,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3550,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4616,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
