RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
6123,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3205,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2896,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
5149,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2595,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2990,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2107,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2908,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2675,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3994,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2490,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2556,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2454,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
5512,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
7920,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3098,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
7916,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1997,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2563,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3953,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1926,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2208,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3031,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3050,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2204,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1628,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2009,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2896,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2286,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1690,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1580,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1773,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2667,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2559,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1775,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1888,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2701,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1575,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2240,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1313,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2007,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
