"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
5030,"P_M_Gordon_Brown.png","P_M_nigel_farage.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","2","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-1.25899659227995,"25","Female","right",1,1,0,0,TRUE,"P_M_Gordon_Brown.png P_M_nigel_farage.png"
3980,"E_F_Jennifer_Saunders.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","3","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-0.676978702904792,"25","Female","right",0,1,0,0,TRUE,"E_F_Jennifer_Saunders.png E_M_Russell_Howard.png"
4070,"E_F_Jennifer_Saunders.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","55cff4a834e9060012e57407","07/06/2022, 17:29:16",0.48705707584553,"25","Female","right",0,1,0,0,TRUE,"E_F_Jennifer_Saunders.png P_M_Gordon_Brown.png"
4393,"P_M_keir_starmer.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","4","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-0.0949608135296314,"25","Female","right",0,1,0,0,TRUE,"P_M_keir_starmer.png P_M_Tony_Blair.png"
3599,"E_M_Michael_McIntyr.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","1","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-1.84101448165511,"25","Female","right",1,1,0,0,TRUE,"E_M_Michael_McIntyr.png E_M_Russell_Howard.png"
4062,"E_F_Dawn_Roma_French.png","E_F_Sarah_Millican.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","3","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-0.676978702904792,"25","Female","right",1,0,0,0,TRUE,"E_F_Dawn_Roma_French.png E_F_Sarah_Millican.png"
3724,"E_F_Jennifer_Saunders.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","55cff4a834e9060012e57407","07/06/2022, 17:29:16",0.48705707584553,"25","Female","right",0,1,0,0,TRUE,"E_F_Jennifer_Saunders.png P_M_Tony_Blair.png"
3894,"E_M_Jimmy_Carr.png","P_M_jeremy_corbyn.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-0.0949608135296314,"25","Female","right",1,1,0,0,TRUE,"E_M_Jimmy_Carr.png P_M_jeremy_corbyn.png"
3113,"E_F_Sarah_Millican.png","E_M_Michael_McIntyr.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","2","55cff4a834e9060012e57407","07/06/2022, 17:29:16",-1.25899659227995,"25","Female","right",0,1,0,0,TRUE,"E_F_Sarah_Millican.png E_M_Michael_McIntyr.png"
2491,"E_F_Sarah_Millican.png","P_F_Theresa_May.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","5","55cff4a834e9060012e57407","07/06/2022, 17:29:16",0.48705707584553,"25","Female","right",0,1,0,0,TRUE,"E_F_Sarah_Millican.png P_F_Theresa_May.png"
