RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
4524,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
4341,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2123,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2863,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3649,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3304,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2973,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3657,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2524,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3165,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2904,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2849,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3455,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2959,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
