RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
9193,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7722,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6292,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4940,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6089,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
10378,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5892,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
9495,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
15741,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7053,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4880,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7859,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5350,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
17871,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
8322,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3191,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5819,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7010,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7119,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5821,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
