RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
8025,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
6249,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
5890,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
6456,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4560,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
5120,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2641,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4383,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3370,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4152,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4551,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2683,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
6490,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
6253,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3029,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
4649,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2418,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2630,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2257,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2514,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3174,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
8066,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
33244,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
19437,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
5330,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2786,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
8217,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
3921,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
2936,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
