RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
11637,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
9939,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
13286,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3439,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5496,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5043,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3019,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4374,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3781,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3582,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5319,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
8175,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4919,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2774,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2540,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3695,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2736,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5363,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5643,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2474,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3193,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2955,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3001,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2293,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5227,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2584,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
7177,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2918,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3832,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3003,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2296,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5804,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4465,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2104,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2664,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3164,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5301,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2231,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3573,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2797,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2762,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5231,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3085,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3111,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2378,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4788,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2640,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2547,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2244,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2910,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3036,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3479,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4338,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
13661,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4733,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
6291,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5472,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3534,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5336,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4157,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
6331,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
7630,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
11570,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3317,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4412,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5591,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3651,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
