RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
3262,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2705,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2627,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1912,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
2062,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
3256,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
3896,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1680,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1710,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
1814,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ef745893bb18904a7163200,"07/06/2022, 17:23:56"
