RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
6985,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5038,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4848,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4741,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3679,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4863,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5164,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5652,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3635,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3525,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5973,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
12798,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4695,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2746,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3304,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4819,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4807,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2237,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2645,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2828,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3971,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2426,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2635,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3351,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2223,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3975,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2863,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2280,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3729,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4807,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3377,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3308,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4311,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3761,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3726,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4951,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4953,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5177,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
7728,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
8640,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5540,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5645,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4535,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4005,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2718,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3138,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
2383,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3615,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
9185,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5135,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4386,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3535,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
6068,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4982,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
7579,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4805,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3014,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4776,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5101,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3151,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5434,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3432,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3079,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5734,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3126,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4263,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4102,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
5345,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3263,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3546,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
3655,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
4012,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f7aaea6bf94dd717b471063,"07/06/2022, 17:30:27"
