RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
8111,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
6680,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4263,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4893,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3854,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3415,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4056,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3113,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3046,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3344,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4773,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3781,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3064,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3005,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4452,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3694,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4750,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3645,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
5599,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3364,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3554,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2674,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3863,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2936,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3004,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4123,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
5153,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
