RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600606925db9c892b3939202,"07/06/2022, 17:41:33"
6773,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4458,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3529,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4004,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
7551,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4083,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
6599,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4311,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
11761,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5905,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4436,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
12697,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3253,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2997,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4491,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
15098,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5255,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4304,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4186,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
