RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
12152,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
10935,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8339,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8717,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5795,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
11639,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5152,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5716,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7175,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
16933,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5276,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6335,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8517,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8456,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5595,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6633,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
12457,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7154,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7810,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5037,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3917,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5736,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4055,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6595,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4937,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
3755,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6478,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5596,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6478,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
7115,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6396,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6196,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4016,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
10754,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
4615,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8436,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
8353,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5455,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
5416,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
6660,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,610b1721b16abec4f521016d,"07/06/2022, 17:47:04"
