RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5449,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3672,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4703,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
8282,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
6429,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3740,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
7029,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3835,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3872,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
7119,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3188,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
7256,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5274,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
16097,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3902,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2752,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2848,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2907,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2445,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3278,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5433,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3291,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2646,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4666,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2541,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3225,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3522,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1924,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2517,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4096,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5386,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3724,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4143,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
