RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
4958,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3437,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3590,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
5014,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3451,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3540,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2993,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
4281,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3583,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2751,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
5891,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2164,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2661,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2891,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2745,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2692,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3340,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
7481,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1747,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
7511,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3197,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
6771,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
5024,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3021,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2932,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2585,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
4493,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3222,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2932,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3801,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3791,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2997,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2559,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
7211,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
