RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4146,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5078,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3185,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3960,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2649,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2799,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3138,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
6512,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3086,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3677,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5909,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2925,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2243,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3497,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3916,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2878,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2733,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4092,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2572,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5950,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4263,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5562,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3384,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3165,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4798,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3923,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3139,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2999,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2786,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2230,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3847,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5176,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5038,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1916,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
6397,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2525,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4720,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2747,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3202,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2829,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2600,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2595,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2422,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2616,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2968,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2826,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2785,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2250,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2234,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4703,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
5835,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4013,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2462,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3147,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2429,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2352,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
