RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
6032,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3323,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
4847,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2590,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3711,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3228,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3346,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2824,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2558,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
4735,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2562,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2452,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2886,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2863,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2930,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2567,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3558,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2338,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2181,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2240,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3580,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1772,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3895,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2063,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
3667,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1927,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2638,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2725,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
