RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
10270,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
10271,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
14203,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3660,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2400,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
16592,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
11300,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2833,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2525,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2186,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2518,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2787,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
20242,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
