RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5330,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5727,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2370,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2865,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3544,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2313,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2374,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2552,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2441,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3623,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1805,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2868,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2647,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2825,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2614,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5880,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2925,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2750,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3039,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1457,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2356,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1656,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2946,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2308,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2248,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2511,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5470,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2545,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
