RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2752,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4015,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2915,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3186,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2587,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2665,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2790,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3710,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3748,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2532,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4762,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2899,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2764,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2602,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3860,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2622,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3306,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3106,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4567,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3423,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2676,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2400,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2655,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2904,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2081,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2240,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2793,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4000,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3372,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3160,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3065,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4040,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3764,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4066,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3198,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2187,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3164,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2574,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
