RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
4575,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1983,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3029,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2589,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2678,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2409,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2564,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2693,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1616,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2655,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2488,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3626,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
