RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
7810,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4918,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
8071,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5685,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5943,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6165,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4972,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2964,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4118,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4655,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
9217,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
6817,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3451,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5440,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2929,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3649,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5475,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2680,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2973,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
