RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4076,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3386,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4576,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1982,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1731,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2063,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2895,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1271,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1276,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
590844,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
6717,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
6470,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1205,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2663,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
