RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
11097,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
14128,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
4267,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
4364,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
16878,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
4110,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
5890,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
11660,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
6578,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
4278,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
7386,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3946,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
7090,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
8611,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3458,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
30662,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
5826,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
3438,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
5162,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
6167,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdaf5b539bcc4d2724d6a4,"06/30/2022, 12:08:25"
