RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
7315,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2892,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2153,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2723,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1575,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1359,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
939,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3434,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3069,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2278,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1877,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
719,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
758,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2736,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
5810,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2780,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1823,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1183,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3284,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1756,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1223,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2517,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
810,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
641,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
941,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
984,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1663,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1895,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1097,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3214,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2697,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1499,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
865,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
5526,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1240,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3041,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1306,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1075,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1333,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2436,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2384,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1227,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1038,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2561,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2395,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2097,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
4408,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
9038,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1471,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1231,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
915,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1415,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1981,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1114,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
7048,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2048,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
719,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
806,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
798,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1167,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
873,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
857,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2077,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1139,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
931,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1401,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
874,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
883,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
