RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4376,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2672,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3524,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4237,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5197,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2688,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1935,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2912,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2436,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1824,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2680,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1768,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2308,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3062,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1730,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3862,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3706,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2229,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3427,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2441,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2165,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2856,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2505,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1690,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4783,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
