RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
9477,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4358,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4619,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5037,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4514,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
7006,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3138,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5774,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2859,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
9995,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4058,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
9393,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3552,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4593,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3036,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
15564,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6056,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5269,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3106,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6916,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3124,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
9770,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
8182,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3936,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4983,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3098,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6237,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5321,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
10962,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2935,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5362,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
17420,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4853,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4026,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2975,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4994,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4804,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
11739,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
1746,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4421,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2937,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4902,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3267,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6296,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2788,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2339,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2985,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2752,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3754,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2026,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4111,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
21370,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3763,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2066,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
1892,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6825,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2848,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2986,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2098,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3300,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2880,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
12338,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
10836,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2067,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2840,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6055,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3492,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2527,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2644,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3543,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4215,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4896,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2957,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3154,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
30494,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3321,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3223,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2775,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3825,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
