"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
5179,"E_M_Jimmy_Carr.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",1,1,0,0,FALSE,"E_M_Jimmy_Carr.png P_M_Tony_Blair.png"
2458,"E_M_Peter_Kay.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",1,1,0,0,FALSE,"E_M_Peter_Kay.png E_M_Russell_Howard.png"
3880,"E_F_Julie_Walters.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.0365700887746946,"33","Male","right",0,1,0,0,TRUE,"E_F_Julie_Walters.png P_M_Tony_Blair.png"
4411,"E_M_Michael_McIntyr.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","2","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",-2.04792497138291,"33","Male","right",1,1,0,0,FALSE,"E_M_Michael_McIntyr.png P_M_david_camer.png"
4072,"P_M_jeremy_corbyn.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",1,1,0,0,FALSE,"P_M_jeremy_corbyn.png P_M_Sajid_Javid.png"
3037,"E_F_Dawn_Roma_French.png","E_M_Peter_Kay.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",0,1,0,0,TRUE,"E_F_Dawn_Roma_French.png E_M_Peter_Kay.png"
4708,"E_F_Jennifer_Saunders.png","E_F_Sarah_Millican.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",0,1,0,0,TRUE,"E_F_Jennifer_Saunders.png E_F_Sarah_Millican.png"
2319,"E_M_Russell_Howard.png","P_F_Theresa_May.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",1,1,0,0,FALSE,"E_M_Russell_Howard.png P_F_Theresa_May.png"
2693,"E_F_Dawn_Roma_French.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",0,1,0,0,TRUE,"E_F_Dawn_Roma_French.png E_M_Russell_Howard.png"
2670,"P_M_david_camer.png","P_M_Michael_Gove.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",1,0,0,0,TRUE,"P_M_david_camer.png P_M_Michael_Gove.png"
2040,"E_F_Julie_Walters.png","E_M_Michael_McIntyr.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",0,1,0,0,TRUE,"E_F_Julie_Walters.png E_M_Michael_McIntyr.png"
2064,"E_F_Dawn_Roma_French.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",0,1,0,0,TRUE,"E_F_Dawn_Roma_French.png P_M_Tony_Blair.png"
2216,"E_M_Peter_Kay.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",-1.35309328466371,"33","Male","right",1,1,0,0,FALSE,"E_M_Peter_Kay.png P_M_keir_starmer.png"
2418,"E_F_Julie_Walters.png","E_M_Ewan_McGregor.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",0,0,0,0,TRUE,"E_F_Julie_Walters.png E_M_Ewan_McGregor.png"
2928,"E_M_Michael_McIntyr.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20",0.731401775493896,"33","Male","right",1,1,0,0,FALSE,"E_M_Michael_McIntyr.png P_M_nigel_farage.png"
