RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7941,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4005,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4904,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5205,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6626,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4621,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5537,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4155,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3612,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3622,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3673,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
