RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
14496,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
4480,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
11709,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7084,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
12019,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
11193,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
10174,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5896,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5360,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9753,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6503,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9032,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
12406,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
11146,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7546,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
