RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
11110,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6451,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6168,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3268,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8392,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
9108,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
12866,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
10906,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
12521,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8837,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
14580,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8968,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8600,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
11230,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
10227,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
9225,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
13878,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
13447,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7851,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
9809,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
