RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7465,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7888,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
9332,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
12287,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5708,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3923,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6505,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4928,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
17029,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6616,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
10385,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3498,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
16447,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5480,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4836,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5508,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
10368,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8315,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
9273,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3458,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4798,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3889,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
9472,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4738,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4863,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
