RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
6436,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3980,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4221,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2481,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3020,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2855,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3061,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3249,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4381,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2278,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2561,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2805,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3597,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2849,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4229,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2398,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1998,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3102,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2409,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2771,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3107,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2262,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
