RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
4741,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3717,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2727,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2002,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1660,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1874,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1873,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1870,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2891,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1487,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1732,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1291,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2682,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2186,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1627,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2374,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1924,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2176,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2419,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2119,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3610,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1749,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3052,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1731,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1496,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1756,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3990,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1763,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1827,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1857,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1844,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1460,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1629,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1613,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2760,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
4060,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1549,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2029,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1270,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2011,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1782,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1561,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1586,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
