RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
5786,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3439,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3200,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3943,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2583,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3225,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2468,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2215,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2490,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1692,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3326,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2783,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3103,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2094,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3238,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3778,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
5919,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1675,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
5027,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3364,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1840,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2011,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2558,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
