RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
6158,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3597,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2931,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3573,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
20881,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1951,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3350,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2359,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2914,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2821,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2306,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3234,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2224,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2079,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
4233,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
10903,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2241,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2082,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2594,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1915,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3048,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2370,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1461,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
5093,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2249,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
13813,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2008,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1397,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2843,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2433,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1480,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1733,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2888,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2149,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2336,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1643,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2415,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1725,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2336,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1960,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
