"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"5179","E_M_Jimmy_Carr.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png P_M_Tony_Blair.png",0.731401775493896,"33","Male","right"
"2458","E_M_Peter_Kay.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Peter_Kay.png E_M_Russell_Howard.png",0.731401775493896,"33","Male","right"
"4411","E_M_Michael_McIntyr.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",2,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Michael_McIntyr.png P_M_david_camer.png",-2.04792497138291,"33","Male","right"
"4072","P_M_jeremy_corbyn.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_jeremy_corbyn.png P_M_Sajid_Javid.png",0.731401775493896,"33","Male","right"
"2319","E_M_Russell_Howard.png","P_F_Theresa_May.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Russell_Howard.png P_F_Theresa_May.png",0.731401775493896,"33","Male","right"
"2216","E_M_Peter_Kay.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Peter_Kay.png P_M_keir_starmer.png",-1.35309328466371,"33","Male","right"
"2928","E_M_Michael_McIntyr.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Michael_McIntyr.png P_M_nigel_farage.png",0.731401775493896,"33","Male","right"
"3060","E_M_Jimmy_Carr.png","E_M_Peter_Kay.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",4,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png E_M_Peter_Kay.png",-0.658261597944507,"33","Male","right"
"1938","E_M_Jimmy_Carr.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png P_M_nigel_farage.png",-0.658261597944507,"33","Male","right"
"1328","E_M_Peter_Kay.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Peter_Kay.png P_M_Gordon_Brown.png",0.0365700887746946,"33","Male","right"
"1455","E_M_Simon_Pegg.png","P_F_Theresa_May.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Simon_Pegg.png P_F_Theresa_May.png",0.731401775493896,"33","Male","right"
"2075","P_M_david_camer.png","P_M_keir_starmer.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_david_camer.png P_M_keir_starmer.png",-1.35309328466371,"33","Male","right"
"1819","P_M_keir_starmer.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_keir_starmer.png P_M_Tony_Blair.png",0.731401775493896,"33","Male","right"
"1958","P_M_keir_starmer.png","P_M_nigel_farage.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_keir_starmer.png P_M_nigel_farage.png",-1.35309328466371,"33","Male","right"
"2912","E_M_Jimmy_Carr.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png P_M_david_camer.png",-1.35309328466371,"33","Male","right"
"2276","E_M_Peter_Kay.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Peter_Kay.png P_M_david_camer.png",-1.35309328466371,"33","Male","right"
"2842","P_M_Gordon_Brown.png","P_M_nigel_farage.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_Gordon_Brown.png P_M_nigel_farage.png",0.731401775493896,"33","Male","right"
"2566","E_M_Simon_Pegg.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Simon_Pegg.png P_M_keir_starmer.png",-1.35309328466371,"33","Male","right"
"1961","E_F_Sarah_Millican.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_F_Sarah_Millican.png E_M_Russell_Howard.png",0.731401775493896,"33","Male","right"
"2264","E_M_Jimmy_Carr.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png E_M_Russell_Howard.png",0.731401775493896,"33","Male","right"
"2562","P_M_david_camer.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_david_camer.png P_M_Sajid_Javid.png",0.731401775493896,"33","Male","right"
"4170","E_F_Sarah_Millican.png","E_M_Michael_McIntyr.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_F_Sarah_Millican.png E_M_Michael_McIntyr.png",-1.35309328466371,"33","Male","right"
"1881","E_M_Russell_Howard.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Russell_Howard.png P_M_keir_starmer.png",0.731401775493896,"33","Male","right"
"3624","P_F_nicola_sturge.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_F_nicola_sturge.png P_M_Tony_Blair.png",-1.35309328466371,"33","Male","right"
"4374","P_M_Gordon_Brown.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_Gordon_Brown.png P_M_Tony_Blair.png",0.0365700887746946,"33","Male","right"
"2133","E_M_Jimmy_Carr.png","P_F_nicola_sturge.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png P_F_nicola_sturge.png",0.731401775493896,"33","Male","right"
"1868","P_F_Theresa_May.png","P_M_Gordon_Brown.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_F_Theresa_May.png P_M_Gordon_Brown.png",0.731401775493896,"33","Male","right"
"4057","E_F_Sarah_Millican.png","P_M_Sajid_Javid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_F_Sarah_Millican.png P_M_Sajid_Javid.png",0.731401775493896,"33","Male","right"
"2497","P_M_jeremy_corbyn.png","P_M_keir_starmer.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_jeremy_corbyn.png P_M_keir_starmer.png",-2.04792497138291,"33","Male","right"
"2459","P_M_david_camer.png","P_M_Gordon_Brown.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_M_david_camer.png P_M_Gordon_Brown.png",0.731401775493896,"33","Male","right"
"2541","E_M_Simon_Pegg.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Simon_Pegg.png P_M_Tony_Blair.png",0.731401775493896,"33","Male","right"
"3492","E_M_Jimmy_Carr.png","P_M_jeremy_corbyn.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","E_M_Jimmy_Carr.png P_M_jeremy_corbyn.png",0.731401775493896,"33","Male","right"
"2091","P_F_Theresa_May.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"55d24bb75bc5bc0005d9050d","06/30/2022, 15:08:20","P_F_Theresa_May.png P_M_Tony_Blair.png",0.0365700887746946,"33","Male","right"
