"pair","img_1","img_2","keyPressed"
"P_M_Sajid_Javid.png P_M_Michael_Gove.png","P_M_Sajid_Javid.png","P_M_Michael_Gove.png",0.3637128
"P_M_Sajid_Javid.png E_F_Dawn_Roma_French.png","P_M_Sajid_Javid.png","E_F_Dawn_Roma_French.png",0.50393286
"P_M_Sajid_Javid.png E_M_Ewan_McGregor.png","P_M_Sajid_Javid.png","E_M_Ewan_McGregor.png",0.48705065
"P_M_Sajid_Javid.png E_M_Russell_Howard.png","P_M_Sajid_Javid.png","E_M_Russell_Howard.png",0.463591
"P_M_Sajid_Javid.png E_M_Simon_Pegg.png","P_M_Sajid_Javid.png","E_M_Simon_Pegg.png",0.4506629
"P_M_Sajid_Javid.png E_M_Jimmy_Carr.png","P_M_Sajid_Javid.png","E_M_Jimmy_Carr.png",0.4705787
"P_M_Sajid_Javid.png P_M_nigel_farage.png","P_M_Sajid_Javid.png","P_M_nigel_farage.png",0.25568837
"P_M_Sajid_Javid.png E_M_Peter_Kay.png","P_M_Sajid_Javid.png","E_M_Peter_Kay.png",0.43093145
"P_M_Sajid_Javid.png E_M_Michael_McIntyr.png","P_M_Sajid_Javid.png","E_M_Michael_McIntyr.png",0.490685
"P_M_Sajid_Javid.png P_M_keir_starmer.png","P_M_Sajid_Javid.png","P_M_keir_starmer.png",0.4353402
"P_M_Sajid_Javid.png E_F_Jennifer_Saunders.png","P_M_Sajid_Javid.png","E_F_Jennifer_Saunders.png",0.4933775
"P_M_Sajid_Javid.png P_M_Tony_Blair.png","P_M_Sajid_Javid.png","P_M_Tony_Blair.png",0.2855805
"P_M_Sajid_Javid.png P_F_Theresa_May.png","P_M_Sajid_Javid.png","P_F_Theresa_May.png",0.2628836
"P_M_Sajid_Javid.png P_F_nicola_sturge.png","P_M_Sajid_Javid.png","P_F_nicola_sturge.png",0.3076821
"P_M_Sajid_Javid.png P_M_jeremy_corbyn.png","P_M_Sajid_Javid.png","P_M_jeremy_corbyn.png",0.23209375
"P_M_Sajid_Javid.png E_F_Julie_Walters.png","P_M_Sajid_Javid.png","E_F_Julie_Walters.png",0.5365652
"P_M_Sajid_Javid.png E_F_Sarah_Millican.png","P_M_Sajid_Javid.png","E_F_Sarah_Millican.png",0.4992495
"P_M_Sajid_Javid.png P_M_Gordon_Brown.png","P_M_Sajid_Javid.png","P_M_Gordon_Brown.png",0.31716794
"P_M_Sajid_Javid.png P_M_david_camer.png","P_M_Sajid_Javid.png","P_M_david_camer.png",0.2277703
"P_M_Michael_Gove.png E_F_Dawn_Roma_French.png","P_M_Michael_Gove.png","E_F_Dawn_Roma_French.png",0.5010888
"P_M_Michael_Gove.png E_M_Ewan_McGregor.png","P_M_Michael_Gove.png","E_M_Ewan_McGregor.png",0.5007455
"P_M_Michael_Gove.png E_M_Russell_Howard.png","P_M_Michael_Gove.png","E_M_Russell_Howard.png",0.4848653
"P_M_Michael_Gove.png E_M_Simon_Pegg.png","P_M_Michael_Gove.png","E_M_Simon_Pegg.png",0.4418938
"P_M_Michael_Gove.png E_M_Jimmy_Carr.png","P_M_Michael_Gove.png","E_M_Jimmy_Carr.png",0.52188596
"P_M_Michael_Gove.png P_M_nigel_farage.png","P_M_Michael_Gove.png","P_M_nigel_farage.png",0.3106542
"P_M_Michael_Gove.png E_M_Peter_Kay.png","P_M_Michael_Gove.png","E_M_Peter_Kay.png",0.52099648
"P_M_Michael_Gove.png E_M_Michael_McIntyr.png","P_M_Michael_Gove.png","E_M_Michael_McIntyr.png",0.4570559
"P_M_Michael_Gove.png P_M_keir_starmer.png","P_M_Michael_Gove.png","P_M_keir_starmer.png",0.34120905
"P_M_Michael_Gove.png E_F_Jennifer_Saunders.png","P_M_Michael_Gove.png","E_F_Jennifer_Saunders.png",0.46120095
"P_M_Michael_Gove.png P_M_Tony_Blair.png","P_M_Michael_Gove.png","P_M_Tony_Blair.png",0.36078084
"P_M_Michael_Gove.png P_F_Theresa_May.png","P_M_Michael_Gove.png","P_F_Theresa_May.png",0.31549096
"P_M_Michael_Gove.png P_F_nicola_sturge.png","P_M_Michael_Gove.png","P_F_nicola_sturge.png",0.38159454
"P_M_Michael_Gove.png P_M_jeremy_corbyn.png","P_M_Michael_Gove.png","P_M_jeremy_corbyn.png",0.37264717
"P_M_Michael_Gove.png E_F_Julie_Walters.png","P_M_Michael_Gove.png","E_F_Julie_Walters.png",0.49356043
"P_M_Michael_Gove.png E_F_Sarah_Millican.png","P_M_Michael_Gove.png","E_F_Sarah_Millican.png",0.403479
"P_M_Michael_Gove.png P_M_Gordon_Brown.png","P_M_Michael_Gove.png","P_M_Gordon_Brown.png",0.342276
"P_M_Michael_Gove.png P_M_david_camer.png","P_M_Michael_Gove.png","P_M_david_camer.png",0.3622138
"E_F_Dawn_Roma_French.png E_M_Ewan_McGregor.png","E_F_Dawn_Roma_French.png","E_M_Ewan_McGregor.png",0.37011045
"E_F_Dawn_Roma_French.png E_M_Russell_Howard.png","E_F_Dawn_Roma_French.png","E_M_Russell_Howard.png",0.35856724
"E_F_Dawn_Roma_French.png E_M_Simon_Pegg.png","E_F_Dawn_Roma_French.png","E_M_Simon_Pegg.png",0.3770798
"E_F_Dawn_Roma_French.png E_M_Jimmy_Carr.png","E_F_Dawn_Roma_French.png","E_M_Jimmy_Carr.png",0.31608176
"E_F_Dawn_Roma_French.png P_M_nigel_farage.png","E_F_Dawn_Roma_French.png","P_M_nigel_farage.png",0.4445492
"E_F_Dawn_Roma_French.png E_M_Peter_Kay.png","E_F_Dawn_Roma_French.png","E_M_Peter_Kay.png",0.3187723
"E_F_Dawn_Roma_French.png E_M_Michael_McIntyr.png","E_F_Dawn_Roma_French.png","E_M_Michael_McIntyr.png",0.29510874
"E_F_Dawn_Roma_French.png P_M_keir_starmer.png","E_F_Dawn_Roma_French.png","P_M_keir_starmer.png",0.48322
