"pair","img_1","img_2","keyPressed"
"P_M_keir_starmer.png P_M_Gordon_Brown.png","P_M_keir_starmer.png","P_M_Gordon_Brown.png",0.4147097
"P_M_keir_starmer.png P_F_Theresa_May.png","P_M_keir_starmer.png","P_F_Theresa_May.png",0.4288824
"P_M_keir_starmer.png E_M_Russell_Howard.png","P_M_keir_starmer.png","E_M_Russell_Howard.png",0.46381146
"P_M_keir_starmer.png E_M_Peter_Kay.png","P_M_keir_starmer.png","E_M_Peter_Kay.png",0.307728
"P_M_keir_starmer.png E_M_Simon_Pegg.png","P_M_keir_starmer.png","E_M_Simon_Pegg.png",0.4483079
"P_M_keir_starmer.png P_M_nigel_farage.png","P_M_keir_starmer.png","P_M_nigel_farage.png",0.3872251
"P_M_keir_starmer.png P_M_Michael_Gove.png","P_M_keir_starmer.png","P_M_Michael_Gove.png",0.3869237
"P_M_keir_starmer.png P_F_nicola_sturge.png","P_M_keir_starmer.png","P_F_nicola_sturge.png",0.40725213
"P_M_keir_starmer.png E_F_Sarah_Millican.png","P_M_keir_starmer.png","E_F_Sarah_Millican.png",0.4720485
"P_M_keir_starmer.png E_M_Ewan_McGregor.png","P_M_keir_starmer.png","E_M_Ewan_McGregor.png",0.4162639
"P_M_keir_starmer.png P_M_jeremy_corbyn.png","P_M_keir_starmer.png","P_M_jeremy_corbyn.png",0.4182643
"P_M_keir_starmer.png P_M_Tony_Blair.png","P_M_keir_starmer.png","P_M_Tony_Blair.png",0.3910134
"P_M_keir_starmer.png P_M_Sajid_Javid.png","P_M_keir_starmer.png","P_M_Sajid_Javid.png",0.4206063
"P_M_keir_starmer.png E_F_Dawn_Roma_French.png","P_M_keir_starmer.png","E_F_Dawn_Roma_French.png",0.4275444
"P_M_keir_starmer.png E_F_Jennifer_Saunders.png","P_M_keir_starmer.png","E_F_Jennifer_Saunders.png",0.45169795
"P_M_keir_starmer.png E_M_Michael_McIntyr.png","P_M_keir_starmer.png","E_M_Michael_McIntyr.png",0.4485476
