"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
2989,"E_F_Jennifer_Saunders.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",0.329455778970519,"35","Female","right",1,1,4,4,FALSE,"E_F_Jennifer_Saunders.png E_M_Russell_Howard.png"
3516,"E_F_Julie_Walters.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",0.329455778970519,"35","Female","right",1,1,4,5,FALSE,"E_F_Julie_Walters.png P_M_keir_starmer.png"
2415,"E_F_Sarah_Millican.png","E_M_Michael_McIntyr.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-1.98893673971091,"35","Female","right",1,1,5,5,FALSE,"E_F_Sarah_Millican.png E_M_Michael_McIntyr.png"
3159,"E_F_Dawn_Roma_French.png","E_M_Peter_Kay.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-1.98893673971091,"35","Female","right",1,1,5,4,FALSE,"E_F_Dawn_Roma_French.png E_M_Peter_Kay.png"
2585,"E_M_Peter_Kay.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-4.30732925839235,"35","Female","right",1,1,4,4,FALSE,"E_M_Peter_Kay.png P_M_Tony_Blair.png"
2929,"E_M_Simon_Pegg.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-4.30732925839235,"35","Female","right",1,1,5,5,FALSE,"E_M_Simon_Pegg.png P_M_Gordon_Brown.png"
2196,"E_F_Dawn_Roma_French.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-1.98893673971091,"35","Female","right",1,1,5,5,FALSE,"E_F_Dawn_Roma_French.png P_M_david_camer.png"
4162,"P_M_Michael_Gove.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-1.98893673971091,"35","Female","right",1,1,5,4,FALSE,"P_M_Michael_Gove.png P_M_Tony_Blair.png"
1443,"E_M_Simon_Pegg.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",-1.98893673971091,"35","Female","right",1,1,5,5,FALSE,"E_M_Simon_Pegg.png P_M_david_camer.png"
1971,"E_F_Jennifer_Saunders.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","5641193817bdbe00122a0f23","10/13/2022, 14:11:46",0.329455778970519,"35","Female","right",1,1,4,5,FALSE,"E_F_Jennifer_Saunders.png P_M_keir_starmer.png"
