RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
8617,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2905,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2200,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
4050,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3002,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
4187,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2349,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1706,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3421,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1934,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1666,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3317,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
