RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,595bb42745265c000166d399,"10/13/2022, 07:22:12"
5963,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
20088,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3662,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
13101,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
5391,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2470,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2054,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
4007,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2895,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1966,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1695,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2855,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1599,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1774,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
4743,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1662,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1606,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1620,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2190,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2462,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
233666,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1614,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1966,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2151,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2871,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1487,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2886,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3190,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2334,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2239,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1894,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1398,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2462,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
7334,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1655,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3054,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1790,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
18950,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
109574,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3997,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1526,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2926,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2686,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1870,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
6399,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1758,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1446,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1967,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1271,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2112,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2630,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2519,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1199,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1758,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1430,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2038,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
9094,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1854,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1711,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1631,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1798,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2358,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
