RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
8207,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
6006,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4154,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3931,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4770,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3735,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4933,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
5854,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3872,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3757,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2897,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4463,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3957,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4434,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3463,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3385,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4352,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2823,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4267,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3212,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3156,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4547,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2964,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
