RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
8456,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3859,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4888,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4973,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6576,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
5910,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4146,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3264,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4113,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3751,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2854,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2850,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3182,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3048,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3589,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2969,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2079,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6913,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2184,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3889,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2963,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3292,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
7018,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2614,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2802,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3613,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3184,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
11193,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2795,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4346,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6502,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2820,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3735,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3303,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2541,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2746,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
23612,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2609,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3091,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2867,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1830,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1990,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2685,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6379,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
