RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
8632,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
11034,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
12191,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
12907,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6089,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4840,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
13775,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5370,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4561,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4929,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5758,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5386,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3567,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
9592,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6389,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5262,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
7501,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
7122,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3736,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4224,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
14675,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3411,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4661,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3983,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3876,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4173,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5597,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4527,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6228,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
14195,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6044,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5723,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3917,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5535,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6745,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4244,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
8415,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
23473,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4806,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4220,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3722,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5211,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4713,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6611,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
