RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
6211,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
4578,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
3208,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1318,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1768,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
3126,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2383,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2982,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
4490,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2910,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
3286,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
4793,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2391,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
5233,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2887,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
5671,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
3141,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1502,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1163,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1516,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1703,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1822,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1789,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1285,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1431,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1577,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1639,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1663,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2950,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2719,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1591,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1335,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2142,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1341,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2134,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1959,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2239,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2732,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2526,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2293,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2343,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1790,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1246,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2543,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1291,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1192,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1873,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1224,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1143,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1633,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1447,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1633,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
3494,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1191,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1316,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1367,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1345,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1666,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1166,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1047,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1014,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1483,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1191,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1158,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1495,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2158,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1183,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1583,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1230,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
905,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1023,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1663,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1639,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2038,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
10398,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1983,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1688,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2182,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2421,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1403,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
