RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
7639,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
4400,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3479,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2573,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
4911,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2796,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3734,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2757,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2831,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2277,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2060,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2331,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1964,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2564,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
4443,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2413,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2529,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2111,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2625,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2694,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1813,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2088,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2336,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1884,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2179,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2296,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2908,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2331,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1686,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2213,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2397,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1979,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2329,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1684,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1614,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3241,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1729,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1955,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2898,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2039,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1869,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1897,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1675,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2256,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2834,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1636,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2644,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1815,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2160,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1800,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2019,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
