RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4027,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3810,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4323,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4693,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4764,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4261,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3591,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5222,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4878,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3890,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4404,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3564,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4132,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5326,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3349,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3359,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3288,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4084,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6515,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5055,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2745,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6110,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3201,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3304,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2261,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5301,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2803,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5503,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5589,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
7938,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5072,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4189,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3551,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4635,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2732,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2048,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2410,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3207,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4419,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3098,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3199,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3537,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4298,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5793,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4555,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3804,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
