RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
18876,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5340,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4236,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4512,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5886,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3455,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5121,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
69377,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
38401,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3219,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4021,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
16530,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2391,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3601,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
22655,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3044,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5070,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
61855,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5449,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
43558,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
140445,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
1715,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3221,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5622,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4243,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3384,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2539,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2745,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2746,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
7567,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
1881,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
53188,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
4099,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
