"","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png","E_F_Julie_Walters.png","E_F_Sarah_Millican.png","E_M_Ewan_McGregor.png","E_M_Jimmy_Carr.png","E_M_Michael_McIntyr.png","E_M_Peter_Kay.png","E_M_Russell_Howard.png","E_M_Simon_Pegg.png","P_F_nicola_sturge.png","P_F_Theresa_May.png","P_M_david_camer.png","P_M_Gordon_Brown.png","P_M_jeremy_corbyn.png","P_M_keir_starmer.png","P_M_Michael_Gove.png","P_M_nigel_farage.png","P_M_Sajid_Javid.png","P_M_Tony_Blair.png"
"E_F_Dawn_Roma_French.png",NA,4.9375,4.71428571428571,4.4375,5.73333333333333,5.38888888888889,4.72222222222222,4.44444444444444,5.47058823529412,5.73333333333333,4.88235294117647,5.11111111111111,5.27777777777778,5.16666666666667,5.88235294117647,5.6,5.54545454545455,5.88235294117647,5.6,5.66666666666667
"E_F_Jennifer_Saunders.png",4.9375,NA,4.28571428571429,4.4,5.66666666666667,5.70588235294118,5.29411764705882,5.58823529411765,5.52941176470588,5.66666666666667,4.58823529411765,5.35294117647059,5.58823529411765,5.70588235294118,5.5625,5.66666666666667,5.72727272727273,5.6875,5.69230769230769,5.47058823529412
"E_F_Julie_Walters.png",4.71428571428571,4.28571428571429,NA,4.78571428571429,5.46153846153846,5.33333333333333,5.13333333333333,5.2,5.71428571428571,5.61538461538461,4.33333333333333,4.53333333333333,5.46666666666667,5.46666666666667,5.57142857142857,5.46153846153846,5.4,5.71428571428571,5.45454545454545,5.46666666666667
"E_F_Sarah_Millican.png",4.4375,4.4,4.78571428571429,NA,5.53333333333333,5.11764705882353,4.76470588235294,4.58823529411765,5.25,5.6,4.3125,4.94117647058824,5.35294117647059,5.47058823529412,5.8125,5.53333333333333,5.54545454545455,5.64705882352941,5.85714285714286,5.58823529411765
"E_M_Ewan_McGregor.png",5.73333333333333,5.66666666666667,5.46153846153846,5.53333333333333,NA,5.1875,5.125,5.3125,4.8,4.125,5.5,5.4375,4.8125,5.25,4.93333333333333,4.53333333333333,4.81818181818182,5.375,5.84615384615385,4.875
"E_M_Jimmy_Carr.png",5.38888888888889,5.70588235294118,5.33333333333333,5.11764705882353,5.1875,NA,4.52631578947368,4.94736842105263,4.94444444444444,4.8125,5.5,5.57894736842105,4.52631578947368,5.05263157894737,5,4.875,4.83333333333333,5.05555555555556,5.53333333333333,4.84210526315789
"E_M_Michael_McIntyr.png",4.72222222222222,5.29411764705882,5.13333333333333,4.76470588235294,5.125,4.52631578947368,NA,4.57894736842105,5,5.1875,5.27777777777778,5.78947368421053,4.42105263157895,4.94736842105263,5.38888888888889,4.8125,4.66666666666667,4.94444444444444,5.33333333333333,4.94736842105263
"E_M_Peter_Kay.png",4.44444444444444,5.58823529411765,5.2,4.58823529411765,5.3125,4.94736842105263,4.57894736842105,NA,5.16666666666667,5,5.66666666666667,5.52631578947368,4.47368421052632,4.89473684210526,5.33333333333333,5.0625,5.16666666666667,5.38888888888889,5.66666666666667,5.42105263157895
"E_M_Russell_Howard.png",5.47058823529412,5.52941176470588,5.71428571428571,5.25,4.8,4.94444444444444,5,5.16666666666667,NA,4.4375,5.38888888888889,5.47368421052632,4.94736842105263,5.10526315789474,5.11111111111111,5.0625,5.41666666666667,5.38888888888889,5.6,4.94736842105263
"E_M_Simon_Pegg.png",5.73333333333333,5.66666666666667,5.61538461538461,5.6,4.125,4.8125,5.1875,5,4.4375,NA,5.41176470588235,5.70588235294118,5,5.17647058823529,4.625,4.5625,4.91666666666667,5.23529411764706,5.78571428571429,4.94117647058824
"P_F_nicola_sturge.png",4.88235294117647,4.58823529411765,4.33333333333333,4.3125,5.5,5.5,5.27777777777778,5.66666666666667,5.38888888888889,5.41176470588235,NA,4.42105263157895,5.36842105263158,5.36842105263158,5.5,5.41176470588235,5.61538461538461,5.55555555555556,5.73333333333333,5.57894736842105
"P_F_Theresa_May.png",5.11111111111111,5.35294117647059,4.53333333333333,4.94117647058824,5.4375,5.57894736842105,5.78947368421053,5.52631578947368,5.47368421052632,5.70588235294118,4.42105263157895,NA,5.4,5.35,5.52631578947368,5.47058823529412,5.38461538461539,5.31578947368421,5.9375,5.4
"P_M_david_camer.png",5.27777777777778,5.58823529411765,5.46666666666667,5.35294117647059,4.8125,4.52631578947368,4.42105263157895,4.47368421052632,4.94736842105263,5,5.36842105263158,5.4,NA,4.95,5.21052631578947,4.76470588235294,4.61538461538461,4.63157894736842,5.4375,4.65
"P_M_Gordon_Brown.png",5.16666666666667,5.70588235294118,5.46666666666667,5.47058823529412,5.25,5.05263157894737,4.94736842105263,4.89473684210526,5.10526315789474,5.17647058823529,5.36842105263158,5.35,4.95,NA,4.94736842105263,4.70588235294118,4.76923076923077,5.10526315789474,5.8125,4.85
"P_M_jeremy_corbyn.png",5.88235294117647,5.5625,5.57142857142857,5.8125,4.93333333333333,5,5.38888888888889,5.33333333333333,5.11111111111111,4.625,5.5,5.52631578947368,5.21052631578947,4.94736842105263,NA,4.88235294117647,5.30769230769231,4.66666666666667,5.53333333333333,4.73684210526316
"P_M_keir_starmer.png",5.6,5.66666666666667,5.46153846153846,5.53333333333333,4.53333333333333,4.875,4.8125,5.0625,5.0625,4.5625,5.41176470588235,5.47058823529412,4.76470588235294,4.70588235294118,4.88235294117647,NA,4.53846153846154,4.88235294117647,5.85714285714286,4.82352941176471
"P_M_Michael_Gove.png",5.54545454545455,5.72727272727273,5.4,5.54545454545455,4.81818181818182,4.83333333333333,4.66666666666667,5.16666666666667,5.41666666666667,4.91666666666667,5.61538461538461,5.38461538461539,4.61538461538461,4.76923076923077,5.30769230769231,4.53846153846154,NA,4.61538461538461,5.58333333333333,4.84615384615385
