RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
6102,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3080,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5986,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4132,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4942,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2947,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5943,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4375,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3786,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3720,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4714,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3058,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3177,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5008,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2690,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5798,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3133,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
