RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5391,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5467,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4311,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4320,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5510,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4379,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3572,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4225,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4812,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4964,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5705,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4403,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4043,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4136,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3915,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4064,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4227,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4153,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5262,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3735,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4534,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4998,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
