RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
5749,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
4159,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2560,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2607,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1860,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1654,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1965,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1824,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1942,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1890,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1482,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1632,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1778,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
