RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
5998,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4345,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2975,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3044,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2167,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4313,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3714,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2503,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
15484,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
10416,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2781,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3436,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4564,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3536,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
20983,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3268,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
7822,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2295,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3200,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2507,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
