RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
8797,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4462,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4588,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4797,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3634,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4603,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3142,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4681,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
6365,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
5041,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
25015,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3828,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3814,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3183,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2537,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4879,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3014,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2987,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3063,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2488,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3250,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3123,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3707,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3373,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
30114,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2284,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2843,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2664,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2758,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2752,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2463,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2443,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2268,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2737,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2498,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2006,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2082,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
30757,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2312,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2916,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3450,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4467,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2093,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2684,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2291,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2258,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
30964,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2950,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3416,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3413,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2864,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2449,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4639,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
1994,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2559,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2476,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2551,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3645,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4657,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
6216,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
