RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2714,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2704,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2073,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2484,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1849,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1835,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3943,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2531,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2372,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
30542,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3746,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
6798,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2046,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2935,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
5381,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2650,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2167,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1684,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2687,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1383,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2103,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1687,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1612,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1896,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2191,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3910,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
4152,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2142,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
4648,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2491,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
4990,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1796,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1671,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
5046,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
4902,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1710,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1120,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2666,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
