RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6621,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
13044,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
7692,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4495,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4899,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
10860,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
10503,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6383,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5683,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6643,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
7411,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3833,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6450,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2695,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3172,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3685,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6168,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6934,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3874,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3417,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5091,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6911,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3753,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5748,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
9406,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5203,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5206,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3430,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
10266,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6907,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4633,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5884,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
