RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
6220,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
3728,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
3816,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2971,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2070,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2727,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1546,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1845,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1935,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1712,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2052,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2471,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2287,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2715,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1963,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1332,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
3486,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1967,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2011,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1564,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1654,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2431,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2091,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1838,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1910,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1898,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2141,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1173,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2038,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1595,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1456,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1275,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1326,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1432,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1878,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1938,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1172,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1542,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1575,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1507,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2044,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1180,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1491,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1102,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1355,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1799,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1868,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1485,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1315,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1863,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1684,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1428,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1510,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1261,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1420,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1166,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1248,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1353,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1130,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
907,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1291,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1658,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1813,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1242,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1967,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1430,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1503,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1967,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1301,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1268,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1755,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1351,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1740,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1579,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1623,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2243,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2227,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1275,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2063,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1270,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2385,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
2394,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1377,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
1803,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eadb9ba99443b0a80211eaa,"10/17/2022, 10:06:50"
