RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3692,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5182,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6440,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6084,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3717,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4246,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6360,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5177,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5105,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6120,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6545,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
7042,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5256,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3810,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5097,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4140,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
13222,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4240,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6547,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3371,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
8862,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4910,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4550,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5334,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3367,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4782,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
2938,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4828,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
7275,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
4164,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
