RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
8369,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
5167,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
5394,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2799,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2811,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2867,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2999,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2489,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3040,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3416,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3929,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4858,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2772,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2785,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3312,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
5295,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2966,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2411,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2251,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1863,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2733,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
