RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
3137,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2236,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2361,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2095,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2681,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
3651,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2223,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2093,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2044,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2602,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1720,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2807,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
3480,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2350,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2500,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1388,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1717,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1972,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1543,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1651,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1241,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1423,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1751,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1313,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1920,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1319,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
