RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
38072,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3270,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3319,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
6026,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2914,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2142,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
5027,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3215,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3698,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3031,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1976,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3815,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2823,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2142,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2420,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1980,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2287,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2684,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2143,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
20455,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2790,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2689,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2337,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1703,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
5162,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
4479,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1623,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1679,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2910,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2031,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
4350,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
6383,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3087,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3337,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2255,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2661,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2623,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
4270,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2899,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2310,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2834,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1934,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
5478,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2167,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1750,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2247,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2608,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2743,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2167,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3894,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3918,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2591,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3045,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3170,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
4710,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2073,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
