RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4083,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2569,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3747,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2595,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2991,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2564,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1998,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2186,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3409,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3026,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1983,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2845,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2900,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3564,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3553,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2987,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2541,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2619,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4008,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4343,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
